quantity,name,colors,cmc,mana_cost,type_line,oracle_text,power,toughness,transform_name,transform_type_line,transform_oracle_text,transform_power,transform_toughness,rarity,set,scryfall_api,scryfall_url
1,Captain of the Mists,U,3,{2}{U},Creature — Human Wizard,"Whenever another Human you control enters, untap this creature.
{1}{U}, {T}: You may tap or untap target permanent.",2,3,NA,NA,NA,NA,NA,rare,avr,https://api.scryfall.com/cards/c43aa68e-a182-4006-b4d6-b4fc67e68583,https://scryfall.com/card/avr/45/captain-of-the-mists?utm_source=api
1,Crippling Chill,U,3,{2}{U},Instant,"Tap target creature. It doesn't untap during its controller's next untap step.
Draw a card.",NA,NA,NA,NA,NA,NA,NA,common,avr,https://api.scryfall.com/cards/79791bd9-aded-48d9-866d-9f7bd6848905,https://scryfall.com/card/avr/46/crippling-chill?utm_source=api
1,Deadeye Navigator,U,6,{4}{U}{U},Creature — Spirit,"Soulbond (You may pair this creature with another unpaired creature when either enters. They remain paired for as long as you control both of them.)
As long as Deadeye Navigator is paired with another creature, each of those creatures has ""{1}{U}: Exile this creature, then return it to the battlefield under your control.""",5,5,NA,NA,NA,NA,NA,rare,avr,https://api.scryfall.com/cards/fa94262b-f740-48fb-a937-75776864c9ee,https://scryfall.com/card/avr/47/deadeye-navigator?utm_source=api
1,Devastation Tide,U,5,{3}{U}{U},Sorcery,"Return all nonland permanents to their owners' hands.
Miracle {1}{U} (You may cast this card for its miracle cost when you draw it if it's the first card you drew this turn.)",NA,NA,NA,NA,NA,NA,NA,rare,avr,https://api.scryfall.com/cards/23b62be6-1a80-4f16-a94a-374203052662,https://scryfall.com/card/avr/48/devastation-tide?utm_source=api
1,Dreadwaters,U,4,{3}{U},Sorcery,"Target player mills X cards, where X is the number of lands you control.",NA,NA,NA,NA,NA,NA,NA,common,avr,https://api.scryfall.com/cards/88245a41-d4d5-46bf-969f-48d4dd540e2c,https://scryfall.com/card/avr/49/dreadwaters?utm_source=api
1,Elgaud Shieldmate,U,4,{3}{U},Creature — Human Soldier,"Soulbond (You may pair this creature with another unpaired creature when either enters. They remain paired for as long as you control both of them.)
As long as this creature is paired with another creature, both creatures have hexproof. (They can't be the targets of spells or abilities your opponents control.)",2,3,NA,NA,NA,NA,NA,common,avr,https://api.scryfall.com/cards/e7d376ef-c900-4abb-9a0b-5eb9369f5739,https://scryfall.com/card/avr/50/elgaud-shieldmate?utm_source=api
1,Favorable Winds,U,2,{1}{U},Enchantment,Creatures you control with flying get +1/+1.,NA,NA,NA,NA,NA,NA,NA,uncommon,avr,https://api.scryfall.com/cards/4cbd57f1-9883-40a4-9b52-1649cee83815,https://scryfall.com/card/avr/51/favorable-winds?utm_source=api
1,Fettergeist,U,3,{2}{U},Creature — Spirit,"Flying
At the beginning of your upkeep, sacrifice this creature unless you pay {1} for each other creature you control.",3,4,NA,NA,NA,NA,NA,uncommon,avr,https://api.scryfall.com/cards/8e89ef0e-1bfe-4e12-90ee-38f993cd8110,https://scryfall.com/card/avr/52/fettergeist?utm_source=api
1,Fleeting Distraction,U,1,{U},Instant,"Target creature gets -1/-0 until end of turn.
Draw a card.",NA,NA,NA,NA,NA,NA,NA,common,avr,https://api.scryfall.com/cards/1ba49d16-e3e4-470a-8ca2-a93a5b358f6e,https://scryfall.com/card/avr/53/fleeting-distraction?utm_source=api
1,Galvanic Alchemist,U,3,{2}{U},Creature — Human Wizard,"Soulbond (You may pair this creature with another unpaired creature when either enters. They remain paired for as long as you control both of them.)
As long as this creature is paired with another creature, each of those creatures has ""{2}{U}: Untap this creature.""",1,4,NA,NA,NA,NA,NA,common,avr,https://api.scryfall.com/cards/b0e24d65-0e6f-4978-8de1-c5e4acac12fb,https://scryfall.com/card/avr/54/galvanic-alchemist?utm_source=api
1,Geist Snatch,U,4,{2}{U}{U},Instant,Counter target creature spell. Create a 1/1 blue Spirit creature token with flying.,NA,NA,NA,NA,NA,NA,NA,common,avr,https://api.scryfall.com/cards/b6dac5db-ef96-4bd5-aabc-e5ae2b95c8c3,https://scryfall.com/card/avr/55/geist-snatch?utm_source=api
1,Ghostform,U,2,{1}{U},Sorcery,Up to two target creatures can't be blocked this turn.,NA,NA,NA,NA,NA,NA,NA,common,avr,https://api.scryfall.com/cards/1f6a20ba-6691-4844-9685-dfcd4184224e,https://scryfall.com/card/avr/56/ghostform?utm_source=api
1,Ghostly Flicker,U,3,{2}{U},Instant,"Exile two target artifacts, creatures, and/or lands you control, then return those cards to the battlefield under your control.",NA,NA,NA,NA,NA,NA,NA,common,avr,https://api.scryfall.com/cards/f0a44373-0c50-4e14-a7c6-0de66796b81e,https://scryfall.com/card/avr/57/ghostly-flicker?utm_source=api
1,Ghostly Touch,U,2,{1}{U},Enchantment — Aura,"Enchant creature
Enchanted creature has ""Whenever this creature attacks, you may tap or untap target permanent.""",NA,NA,NA,NA,NA,NA,NA,uncommon,avr,https://api.scryfall.com/cards/3ebae54a-47e0-4e82-8a29-b5d9354a748b,https://scryfall.com/card/avr/58/ghostly-touch?utm_source=api
1,Gryff Vanguard,U,5,{4}{U},Creature — Human Knight,"Flying
When this creature enters, draw a card.",3,2,NA,NA,NA,NA,NA,common,avr,https://api.scryfall.com/cards/b7238136-c8de-4949-9b54-ff75094e0569,https://scryfall.com/card/avr/59/gryff-vanguard?utm_source=api
1,Havengul Skaab,U,6,{5}{U},Creature — Zombie Horror,"Whenever this creature attacks, return another creature you control to its owner's hand.",4,5,NA,NA,NA,NA,NA,common,avr,https://api.scryfall.com/cards/4c7ff97f-fb06-4a61-98cd-50965a6522d4,https://scryfall.com/card/avr/60/havengul-skaab?utm_source=api
1,Infinite Reflection,U,6,{5}{U},Enchantment — Aura,"Enchant creature
When this Aura enters attached to a creature, each other nontoken creature you control becomes a copy of that creature.
Nontoken creatures you control enter as a copy of enchanted creature.",NA,NA,NA,NA,NA,NA,NA,rare,avr,https://api.scryfall.com/cards/42506c54-e9bf-4d0f-8dd5-8b218668c925,https://scryfall.com/card/avr/61/infinite-reflection?utm_source=api
1,Into the Void,U,4,{3}{U},Sorcery,Return up to two target creatures to their owners' hands.,NA,NA,NA,NA,NA,NA,NA,uncommon,avr,https://api.scryfall.com/cards/5ddd1050-8abd-4dfe-9e52-5b56af358653,https://scryfall.com/card/avr/62/into-the-void?utm_source=api
1,Latch Seeker,U,3,{1}{U}{U},Creature — Spirit,This creature can't be blocked.,3,1,NA,NA,NA,NA,NA,uncommon,avr,https://api.scryfall.com/cards/3e4e7589-9cee-4d57-8648-ce733781bfb2,https://scryfall.com/card/avr/63/latch-seeker?utm_source=api
1,Lone Revenant,U,5,{3}{U}{U},Creature — Spirit,"Hexproof (This creature can't be the target of spells or abilities your opponents control.)
Whenever this creature deals combat damage to a player, if you control no other creatures, look at the top four cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.",4,4,NA,NA,NA,NA,NA,rare,avr,https://api.scryfall.com/cards/2e12186e-9c93-4136-9ea3-e8d2ae1ee2e5,https://scryfall.com/card/avr/64/lone-revenant?utm_source=api
1,Lunar Mystic,U,4,{2}{U}{U},Creature — Human Wizard,"Whenever you cast an instant spell, you may pay {1}. If you do, draw a card.",2,2,NA,NA,NA,NA,NA,rare,avr,https://api.scryfall.com/cards/f346d236-528c-4164-9995-74cdc56597a9,https://scryfall.com/card/avr/65/lunar-mystic?utm_source=api
1,Mass Appeal,U,3,{2}{U},Sorcery,Draw a card for each Human you control.,NA,NA,NA,NA,NA,NA,NA,uncommon,avr,https://api.scryfall.com/cards/dfe9ae51-fd2b-45ca-a780-725f51f897b2,https://scryfall.com/card/avr/66/mass-appeal?utm_source=api
1,Mist Raven,U,4,{2}{U}{U},Creature — Bird,"Flying
When this creature enters, return target creature to its owner's hand.",2,2,NA,NA,NA,NA,NA,common,avr,https://api.scryfall.com/cards/0d98f0c4-021a-407a-8b0c-5500d804f959,https://scryfall.com/card/avr/67/mist-raven?utm_source=api
1,Misthollow Griffin,U,4,{2}{U}{U},Creature — Griffin,"Flying
You may cast this card from exile.",3,3,NA,NA,NA,NA,NA,mythic,avr,https://api.scryfall.com/cards/2db4fe28-e580-479b-910f-b719d69468b1,https://scryfall.com/card/avr/68/misthollow-griffin?utm_source=api
1,Nephalia Smuggler,U,1,{U},Creature — Human Rogue,"{3}{U}, {T}: Exile another target creature you control, then return that card to the battlefield under your control.",1,1,NA,NA,NA,NA,NA,uncommon,avr,https://api.scryfall.com/cards/1a531b2f-2a9e-4cc9-aea6-9dce239f5511,https://scryfall.com/card/avr/69/nephalia-smuggler?utm_source=api
1,Outwit,U,1,{U},Instant,Counter target spell that targets a player.,NA,NA,NA,NA,NA,NA,NA,common,avr,https://api.scryfall.com/cards/429f7cf0-579a-4003-b5cf-4baf5d420796,https://scryfall.com/card/avr/70/outwit?utm_source=api
1,Peel from Reality,U,2,{1}{U},Instant,Return target creature you control and target creature you don't control to their owners' hands.,NA,NA,NA,NA,NA,NA,NA,common,avr,https://api.scryfall.com/cards/7f41285b-5961-4653-96a0-fb6d27111390,https://scryfall.com/card/avr/71/peel-from-reality?utm_source=api
1,Rotcrown Ghoul,U,5,{4}{U},Creature — Zombie,"When this creature dies, target player mills five cards.",3,3,NA,NA,NA,NA,NA,common,avr,https://api.scryfall.com/cards/f13b5ba6-0de1-4f5c-867b-57e2c10bde8e,https://scryfall.com/card/avr/72/rotcrown-ghoul?utm_source=api
1,Scrapskin Drake,U,3,{2}{U},Creature — Zombie Drake,"Flying (This creature can't be blocked except by creatures with flying or reach.)
This creature can block only creatures with flying.",2,3,NA,NA,NA,NA,NA,common,avr,https://api.scryfall.com/cards/c9f03bae-1d23-43ea-9079-4b09d61bbadd,https://scryfall.com/card/avr/73/scrapskin-drake?utm_source=api
1,Second Guess,U,2,{1}{U},Instant,Counter target spell that's the second spell cast this turn.,NA,NA,NA,NA,NA,NA,NA,uncommon,avr,https://api.scryfall.com/cards/0d22d093-8e89-4d54-ac04-14c8759de3ea,https://scryfall.com/card/avr/74/second-guess?utm_source=api
1,Spectral Prison,U,2,{1}{U},Enchantment — Aura,"Enchant creature
Enchanted creature doesn't untap during its controller's untap step.
When enchanted creature becomes the target of a spell, sacrifice this Aura.",NA,NA,NA,NA,NA,NA,NA,common,avr,https://api.scryfall.com/cards/89d141bc-7307-40c2-a7ed-427caaec5efc,https://scryfall.com/card/avr/75/spectral-prison?utm_source=api
1,Spirit Away,U,7,{5}{U}{U},Enchantment — Aura,"Enchant creature
You control enchanted creature.
Enchanted creature gets +2/+2 and has flying.",NA,NA,NA,NA,NA,NA,NA,rare,avr,https://api.scryfall.com/cards/d8823bdc-0467-47f1-9bef-a281b4a7071d,https://scryfall.com/card/avr/76/spirit-away?utm_source=api
1,Stern Mentor,U,4,{3}{U},Creature — Human Wizard,"Soulbond (You may pair this creature with another unpaired creature when either enters. They remain paired for as long as you control both of them.)
As long as this creature is paired with another creature, each of those creatures has ""{T}: Target player mills two cards.""",2,2,NA,NA,NA,NA,NA,uncommon,avr,https://api.scryfall.com/cards/ffe4d34f-68f0-4d79-9aab-58c5304224d9,https://scryfall.com/card/avr/77/stern-mentor?utm_source=api
1,Stolen Goods,U,4,{3}{U},Sorcery,"Target opponent exiles cards from the top of their library until they exile a nonland card. Until end of turn, you may cast that card without paying its mana cost.",NA,NA,NA,NA,NA,NA,NA,rare,avr,https://api.scryfall.com/cards/53203dfc-5ad5-4c17-9802-ca2f874d327a,https://scryfall.com/card/avr/78/stolen-goods?utm_source=api
1,"Tamiyo, the Moon Sage",U,5,{3}{U}{U},Legendary Planeswalker — Tamiyo,"+1: Tap target permanent. It doesn't untap during its controller's next untap step.
−2: Draw a card for each tapped creature target player controls.
−8: You get an emblem with ""You have no maximum hand size"" and ""Whenever a card is put into your graveyard from anywhere, you may return it to your hand.""",NA,NA,NA,NA,NA,NA,NA,mythic,avr,https://api.scryfall.com/cards/b9398926-13b9-47b8-b66b-1ab9d06bb704,https://scryfall.com/card/avr/79/tamiyo-the-moon-sage?utm_source=api
1,Tandem Lookout,U,3,{2}{U},Creature — Human Scout,"Soulbond (You may pair this creature with another unpaired creature when either enters. They remain paired for as long as you control both of them.)
As long as Tandem Lookout is paired with another creature, each of those creatures has ""Whenever this creature deals damage to an opponent, draw a card.""",2,1,NA,NA,NA,NA,NA,uncommon,avr,https://api.scryfall.com/cards/83564e67-2677-4955-a3b9-3b221dbb100b,https://scryfall.com/card/avr/80/tandem-lookout?utm_source=api
1,Temporal Mastery,U,7,{5}{U}{U},Sorcery,"Take an extra turn after this one. Exile Temporal Mastery.
Miracle {1}{U} (You may cast this card for its miracle cost when you draw it if it's the first card you drew this turn.)",NA,NA,NA,NA,NA,NA,NA,mythic,avr,https://api.scryfall.com/cards/266e5267-2288-4bb0-8c54-0c556521cec3,https://scryfall.com/card/avr/81/temporal-mastery?utm_source=api
1,Vanishment,U,5,{4}{U},Instant,"Put target nonland permanent on top of its owner's library.
Miracle {U} (You may cast this card for its miracle cost when you draw it if it's the first card you drew this turn.)",NA,NA,NA,NA,NA,NA,NA,uncommon,avr,https://api.scryfall.com/cards/dece40c1-790c-4471-a790-1d356b345603,https://scryfall.com/card/avr/82/vanishment?utm_source=api
